time1,rela1,crel1,time2,rela2,crel2,time3,rela3,crel3
0,0.0489551220120622,0.134355308560375,0,-0.0620657661454879,-0.0591110907276055,0,-0.0521421651327939,-0.267576372535899
0.0833333333333333,-0.0016390773980015,-0.0229736588147481,0.0833333333333333,-0.0181014600054614,-0.000456762767012696,0.0833333333333333,-0.0419923338996094,-0.260891857732043
0.166666666666667,0.0162648450449055,0.0396323047338265,0.166666666666667,-0.141430750238272,-0.277904256543886,0.166666666666667,-0.0680163485694758,-0.181177691932247
0.25,0.395318111869622,0.154797105170028,0.25,0.154834321926298,-0.250916674603697,0.25,0.551196060018725,-0.120121252095206
0.333333333333333,0.876955510760722,0.142242812042971,0.333333333333333,0.913245232040144,-0.0178272255019202,0.333333333333333,1.34912249858764,0.248095831087887
0.416666666666667,1.34747269013592,0.696223329596478,0.416666666666667,1.3823883718848,0.626658728313245,0.416666666666667,1.56502776106504,0.685388898554726
0.5,1.55309082339552,0.838493883315361,0.5,1.39273825972599,0.866794282650551,0.5,1.60474935478683,1.02147675438415
0.583333333333333,1.5111071444244,0.921188075664906,0.583333333333333,1.35534222876419,0.959795521413243,0.583333333333333,1.49936473437318,1.16041431771253
0.666666666666667,1.51039526263182,0.987132613598965,0.666666666666667,1.26960191563853,0.668710099507686,0.666666666666667,1.28173443559319,0.652198578535462
0.75,1.51013897657969,0.882036567864708,0.75,1.12125522167671,0.525494480454292,0.75,1.22007895680128,0.65301575625004
0.833333333333333,1.35141328859536,0.611045293549551,0.833333333333333,1.17249536753815,0.499394083731431,0.833333333333333,1.1374605307468,0.560398735463618
0.916666666666667,1.42234251806839,0.846194252549614,0.916666666666667,1.24445551059278,0.576096870429013,0.916666666666667,1.16278871229908,0.381109419766141
1,1.33671563707522,0.840227038996964,1,1.0397732633547,0.296807236737196,1,1.15259836697244,0.643011169468677
1.08333333333333,1.29922107483306,0.865375202512425,1.08333333333333,0.980240422096017,0.546471427770373,1.08333333333333,1.19521650017399,0.632177061528829
1.16666666666667,1.25137748118892,0.709647092956442,1.16666666666667,0.989860545945545,0.358993803153967,1.16666666666667,1.11292286515663,0.544597586546039
1.25,1.2926486617772,0.732589125022008,1.25,0.954829520475701,0.366670769775592,1.25,1.09336793234353,0.600526489683832
1.33333333333333,1.280052040677,0.917078282504423,1.33333333333333,0.924954324728357,0.421650878709989,1.33333333333333,1.08383314545198,0.57006736318597
1.41666666666667,1.19780051972112,0.766153977724521,1.41666666666667,0.955301357806695,0.334297378928807,1.41666666666667,1.07921303020577,0.526379954434114
1.5,1.25244517467765,0.760615228502464,1.5,0.980961301119996,0.445704313554431,1.5,1.00521498342454,0.483975618697063
1.58333333333333,1.18199642846984,0.863436859314396,1.58333333333333,1.0055307913724,0.362432256501824,1.58333333333333,1.05055623042614,0.464716406194244
1.66666666666667,1.22705570003501,0.776906715172869,1.66666666666667,0.96801491281086,0.493962207063898,1.66666666666667,1.05444214125137,0.410591752947072
1.75,1.287743089484,0.920812593506491,1.75,0.965043558168022,0.342291276598964,1.75,0.967399721847137,0.498504472618664
1.83333333333333,1.18304367603667,0.898490057316088,1.83333333333333,0.97110558351452,0.427549178333835,1.83333333333333,1.057858953552,0.536842091856544
1.91666666666667,1.23447675798576,0.833253950919677,1.91666666666667,0.95864840382446,0.505298753619687,1.91666666666667,1.01840341066472,0.355882115741416
2,1.15511359553235,0.766346696612688,2,0.911832120383756,0.329616616485307,2,1.05970476642282,0.499393122661157
