time1,rela1,crel1,time2,rela2,crel2,time3,rela3,crel3
0,-0.0530686512222513,-0.162968543089516,0,-0.00546633343872975,0.0865833894628437,0,0.0243631517678927,0.0250525470970112
0.0833333333333333,-0.0449064548113346,-0.0429569356885943,0.0833333333333333,-0.0198004151955765,-0.0590255972329856,0.0833333333333333,-0.0244166881991614,0.254312578876039
0.166666666666667,-0.103076302448506,-0.131284416939303,0.166666666666667,-0.00257888676054491,0.357033220408444,0.166666666666667,0.103367598613777,0.446108267897685
0.25,-0.0394566747873617,-0.303949965135847,0.25,-0.0462472867781259,0.144732090784897,0.25,0.0916758262285462,0.112582168637755
0.333333333333333,0.0195533664374053,-0.277352801559994,0.333333333333333,0.0504821378948865,0.522027964799327,0.333333333333333,0.114304704904309,-0.309582924917716
0.416666666666667,0.033086492301357,-0.5337639925578,0.416666666666667,0.0808680231256324,0.834728696808989,0.416666666666667,0.162075219391264,-0.0471335573555859
0.5,0.214871179946247,-0.43787760301164,0.5,0.143446510336478,0.880790844450928,0.5,0.172826891164534,-0.661687534482106
0.583333333333333,0.388191476415541,-0.285174785130865,0.583333333333333,0.307115763483786,0.728120524145016,0.583333333333333,0.295088529335585,-0.367175482105088
0.666666666666667,0.619759185809125,-0.110030340572753,0.666666666666667,0.547158172963163,0.920809184253054,0.666666666666667,0.501764065820361,-0.190951814005593
0.75,0.881368484300047,-0.0645492138532492,0.75,0.935150743181784,1.27115129677163,0.75,0.598965795488606,-0.552080089715683
0.833333333333333,1.15834591181618,0.137234087860779,0.833333333333333,1.22675125475717,1.35930487392649,0.833333333333333,0.807448970099388,-0.166075769112204
0.916666666666667,1.38657394680517,0.268250586663848,0.916666666666667,1.45747023098445,1.44295371571893,0.916666666666667,1.05450227628096,-0.0983104267823719
1,1.47982902242428,0.596213128493409,1,1.42275766824418,1.50296647184149,1,1.31181010109304,0.433949991696104
1.08333333333333,1.52806117797706,0.401586971350855,1.08333333333333,1.45923810935838,1.7231615409492,1.08333333333333,1.37055768225604,0.333871878147119
1.16666666666667,1.47871113921177,0.475875499637722,1.16666666666667,1.53889717467242,1.7388216518837,1.16666666666667,1.45996407765451,0.52249626603259
1.25,1.51633643815849,0.726878706099221,1.25,1.59565298648947,1.55713021666542,1.25,1.41832234001126,0.885105139459275
1.33333333333333,1.49909661802188,0.613186295275662,1.33333333333333,1.59104767386291,1.54333018652812,1.33333333333333,1.50080247076918,0.681681045789258
1.41666666666667,1.46717309238435,0.590051668638487,1.41666666666667,1.63854460790123,1.8771119561616,1.41666666666667,1.47108240074408,0.284600727362022
