,time,rela,crel,time1,rela.1,crel.1,time2,rela.2,crel.2,time3,rela.3,crel.3,time4,rela.4,crel.4
31,3.458055556,1.355353464,1.201993425,3.46,1.125002449,1.02157651,3.461944444,1.023082193,1.512423409,3.461944444,1.143521451,1.157632084,3.461944444,0.806439787,0.784425409
32,3.574722222,1.35464413,1.212561486,3.576666667,1.122886486,0.990999071,3.578611111,0.999257121,1.542765442,3.578611111,1.127730643,1.143553872,3.578611111,0.791815755,0.782164268
33,3.691388889,1.33925345,1.217340526,3.693333333,1.120970086,0.975489043,3.695277778,0.961679442,1.532487686,3.695277778,1.096807904,1.111538692,3.695277778,0.777603555,0.770280038
34,3.808055556,1.315380559,1.214622706,3.81,1.116738721,0.972421768,3.811944444,0.93252801,1.505726301,3.811944444,1.077630696,1.099585221,3.811944444,0.770609492,0.760833999
35,3.924722222,1.298029966,1.217858064,3.926666667,1.119391287,0.982460654,3.928611111,0.901557888,1.472096685,3.928611111,1.060387599,1.095885098,3.928611111,0.775307156,0.757098728
36,4.041388889,1.284642495,1.216661267,4.043333333,1.13839015,1.005266252,4.045277778,0.879529951,1.431903015,4.045277778,1.035067759,1.08792412,4.045277778,0.780326792,0.749155312
37,4.158055556,1.291965646,1.216096699,4.16,1.154550132,1.027717308,4.161944444,0.862142682,1.386326349,4.161944444,1.020131026,1.085419749,4.161944444,0.775171635,0.734759393
38,4.274722222,1.314799372,1.223201123,4.276666667,1.146820901,1.031911011,4.278611111,0.844848897,1.346935452,4.278611111,1.019556902,1.081577986,4.278611111,0.758534286,0.723136446
39,4.391388889,1.337617351,1.249146169,4.393333333,1.121044382,1.007395224,4.395277778,0.833166211,1.325503409,4.395277778,1.019491049,1.060819089,4.395277778,0.745477392,0.714569451
40,4.508055556,1.355924045,1.290645131,4.51,1.107987461,0.974740975,4.511944444,0.832301067,1.340848235,4.511944444,1.014190085,1.034494859,4.511944444,0.735541814,0.70705997
41,4.624722222,1.363634182,1.327914681,4.626666667,1.123894828,0.977521534,4.628611111,0.844403281,1.369984472,4.628611111,1.007412218,1.017050787,4.628611111,0.731676031,0.717957239
42,4.741388889,1.367090755,1.351904036,4.743333333,1.160231999,0.998948473,4.745277778,0.872001621,1.4005781,4.745277778,0.988628388,0.99558166,4.745277778,0.740300279,0.741740574
43,4.858055556,1.379677702,1.359734382,4.86,1.210824565,1.03385773,4.861944444,0.881295802,1.431872486,4.861944444,0.958844029,0.981174362,4.861944444,0.757416994,0.770820234
44,4.974722222,1.40036758,1.361837556,4.976666667,1.250797567,1.069637126,4.978611111,0.862509106,1.444624952,4.978611111,0.924645354,0.975827483,4.978611111,0.755206365,0.792765573
45,5.091388889,1.411431396,1.346239513,5.093333333,1.246823749,1.070316062,5.095277778,0.84113913,1.42483857,5.095277778,0.881686937,0.941364069,5.095277778,0.731259761,0.791555895
46,5.208055556,1.420108194,1.340574224,5.21,1.190668443,1.026382655,5.211944444,0.832398037,1.402744758,5.211944444,0.835751094,0.884357117,5.211944444,0.704695996,0.768050181
47,5.324722222,1.435640229,1.369767618,5.326666667,1.123793064,0.981677503,5.328611111,0.83884307,1.379385661,5.328611111,0.812239634,0.833208665,5.328611111,0.681895655,0.739057375
48,5.441388889,1.445683553,1.398253284,5.443333333,1.078119164,0.949342237,5.445277778,0.878728576,1.347313011,5.445277778,0.80058303,0.784388412,5.445277778,0.673160904,0.715012409
49,5.558055556,1.44668759,1.407528972,5.56,1.065694466,0.922003147,5.561944444,0.943754145,1.330775156,5.561944444,0.802329272,0.74997301,5.561944444,0.677272633,0.692857154
50,5.674722222,1.429924868,1.404965488,5.676666667,1.076579277,0.913148762,5.678611111,0.983282511,1.328944358,5.678611111,0.830314331,0.761399203,5.678611111,0.68915421,0.678636686
51,5.791388889,1.390421838,1.373065899,5.793333333,1.093667801,0.914031149,5.795277778,0.999112837,1.326757561,5.795277778,0.856995776,0.783698476,5.795277778,0.695455597,0.666202502
52,5.908055556,1.34632195,1.311044272,5.91,1.100722522,0.908998641,5.911944444,1.013588268,1.345796927,5.911944444,0.858575542,0.790424895,5.911944444,0.68339435,0.652204424
53,6.024722222,1.303043222,1.263132394,6.026666667,1.083644627,0.899856653,6.028611111,1.012667641,1.370219029,6.028611111,0.85789122,0.780193644,6.028611111,0.671003606,0.643806909
54,6.141388889,1.262759711,1.226663127,6.143333333,1.049430422,0.891870795,6.145277778,0.992688172,1.374465777,6.145277778,0.851976786,0.750840967,6.145277778,0.667768099,0.650797876
55,6.258055556,1.253986399,1.196268427,6.26,1.019084112,0.878001902,6.261944444,0.972450019,1.368931054,6.261944444,0.819336208,0.700480619,6.261944444,0.669440668,0.677994795
56,6.374722222,1.267307094,1.184967875,6.376666667,1.009087581,0.867705633,6.378611111,0.93256846,1.372892259,6.378611111,0.78129956,0.656669425,6.378611111,0.679449872,0.712910238
57,6.491388889,1.259495647,1.183057063,6.493333333,1.00178429,0.852952586,6.495277778,0.887250342,1.375989584,6.495277778,0.764772242,0.63862154,6.495277778,0.70348592,0.753552191
58,6.608055556,1.232246241,1.168047431,6.61,0.995600504,0.827667225,6.611944444,0.860798623,1.376031861,6.611944444,0.755928135,0.64060218,6.611944444,0.723519817,0.784383563
59,6.724722222,1.203935753,1.143725093,6.726666667,0.99034911,0.804156762,6.728611111,0.855194795,1.375286759,6.728611111,0.741799447,0.655444391,6.728611111,0.723018176,0.781436921
60,6.841388889,1.194380469,1.141290773,6.843333333,0.981783138,0.776393534,6.845277778,0.861242778,1.382958044,6.845277778,0.741469289,0.685338868,6.845277778,0.711937444,0.758001788
61,6.958055556,1.205328575,1.149135246,6.96,0.966576462,0.745486701,6.961944444,0.870737026,1.392266888,6.961944444,0.743243055,0.711996744,6.961944444,0.691112038,0.715551776
62,7.074722222,1.222539787,1.153504673,7.076666667,0.973440865,0.747979446,7.078611111,0.86689224,1.400697755,7.078611111,0.721835473,0.717830268,7.078611111,0.658129932,0.655508953
63,7.191388889,1.2392941,1.170475653,7.193333333,1.000920067,0.775731889,7.195277778,0.857407036,1.407688047,7.195277778,0.700550094,0.719828314,7.195277778,0.619119078,0.6127953
64,7.308055556,1.247384515,1.187738485,7.31,1.031419002,0.80509463,7.311944444,0.873637696,1.420034444,7.311944444,0.697180159,0.720397769,7.311944444,0.589689547,0.605030832
65,7.424722222,1.232532013,1.187212116,7.426666667,1.037305732,0.823461936,7.428611111,0.916028276,1.430460472,7.428611111,0.69120837,0.707099383,7.428611111,0.571364199,0.612957137
66,7.541388889,1.208580977,1.178500198,7.543333333,1.018387616,0.815108077,7.545277778,0.965343613,1.422900199,7.545277778,0.694588988,0.69975404,7.545277778,0.575288381,0.6371733
67,7.658055556,1.199467958,1.180667738,7.66,0.982955396,0.779768656,7.661944444,1.00224298,1.412709519,7.661944444,0.707566075,0.71116378,7.661944444,0.591781991,0.674042415
68,7.774722222,1.192568794,1.189849579,7.776666667,0.928543096,0.728174853,7.778611111,1.027203451,1.420118284,7.778611111,0.708993382,0.715240224,7.778611111,0.623996161,0.708213855
69,7.891388889,1.175538991,1.197619661,7.893333333,0.859059248,0.658083257,7.895277778,1.043081887,1.440645299,7.895277778,0.695182188,0.704601654,7.895277778,0.674246299,0.745944863
70,8.008055556,1.157073472,1.203274222,8.01,0.815696536,0.601473184,8.011944444,1.046092467,1.465972697,8.011944444,0.695501702,0.706855403,8.011944444,0.707892756,0.777844839
71,8.124722222,1.13504198,1.208379795,8.126666667,0.789068168,0.569254985,8.128611111,1.033230978,1.499823344,8.128611111,0.71662532,0.72058686,8.128611111,0.709701841,0.795108805
