,time,rela,crel,time.1,rela.1,crel.1,time.2,rela.2,crel.2,time.3,rela.3,crel.3,time.4,rela.4,crel.4
31,3.464166667,1.100311904,0.742093787,3.462222222,0.759102333,0.538656416,3.464166667,1.041693258,0.407243743,3.466111111,1.035866542,0.682070916,3.462222222,0.587636102,0.172460872
32,3.580833333,1.130134694,0.74832359,3.578888889,0.805593964,0.548701718,3.580833333,1.000474622,0.395039336,3.582777778,1.080464498,0.689154119,3.578888889,0.533191616,0.157210683
33,3.6975,1.129865722,0.760565644,3.695555556,0.887229932,0.580457824,3.6975,0.965408208,0.390042152,3.699444444,1.090479265,0.683872233,3.695555556,0.50002854,0.145338541
34,3.814166667,1.10347749,0.758136713,3.812222222,0.928835855,0.613664627,3.814166667,0.913850784,0.379947265,3.816111111,1.066536823,0.675125332,3.812222222,0.474974084,0.13855892
35,3.930833333,1.0404424,0.71822477,3.928888889,0.949769164,0.634777404,3.930833333,0.862940448,0.365454876,3.932777778,1.028451976,0.674522559,3.928888889,0.471133172,0.137897331
36,4.0475,0.977254839,0.664884744,4.045555556,0.951369123,0.630341573,4.0475,0.843883201,0.359250095,4.049444444,0.978122009,0.671429453,4.045555556,0.482427458,0.137960889
37,4.164166667,0.944078207,0.615555256,4.162222222,0.89566098,0.603738919,4.164166667,0.837192329,0.350517361,4.166111111,0.932401516,0.662019254,4.162222222,0.461893361,0.139220804
38,4.280833333,0.925959729,0.581797714,4.278888889,0.800114831,0.561437865,4.280833333,0.831605786,0.336214009,4.282777778,0.89005317,0.64330754,4.278888889,0.432893474,0.135032175
39,4.3975,0.908977982,0.564759811,4.395555556,0.71944306,0.499565793,4.3975,0.852436332,0.329453917,4.399444444,0.835722276,0.606338105,4.395555556,0.431905279,0.134724392
40,4.514166667,0.875753719,0.556856181,4.512222222,0.679925538,0.45445127,4.514166667,0.873843027,0.328071465,4.516111111,0.756485685,0.534634967,4.512222222,0.427346652,0.141528875
41,4.630833333,0.836216681,0.549595454,4.628888889,0.701367215,0.448906907,4.630833333,0.857856955,0.32747069,4.632777778,0.684061353,0.460269355,4.628888889,0.424865782,0.155362031
42,4.7475,0.842331987,0.561047041,4.745555556,0.769953034,0.477615604,4.7475,0.846303677,0.336628371,4.749444444,0.652746673,0.431288644,4.745555556,0.43948683,0.171234935
43,4.864166667,0.8733575,0.581297164,4.862222222,0.857949822,0.534075069,4.864166667,0.863385753,0.351180623,4.866111111,0.679245238,0.456240807,4.862222222,0.441768658,0.188726072
44,4.980833333,0.90918199,0.605920985,4.978888889,0.945650061,0.612850064,4.980833333,0.867977974,0.361945158,4.982777778,0.744584841,0.508388231,4.978888889,0.406659923,0.189394124
45,5.0975,0.937226493,0.619876481,5.095555556,0.99203269,0.677116816,5.0975,0.865833428,0.362086893,5.099444444,0.811328492,0.565085388,5.095555556,0.371762777,0.179730768
46,5.214166667,0.90778969,0.593116786,5.212222222,0.999470114,0.713287345,5.214166667,0.872787595,0.3518909,5.216111111,0.83667991,0.587110597,5.212222222,0.346766525,0.167487777
47,5.330833333,0.803335278,0.528306073,5.328888889,1.010787577,0.734811461,5.330833333,0.848013285,0.330400846,5.332777778,0.80416871,0.542869968,5.328888889,0.330560034,0.153003937
48,5.4475,0.697779682,0.46291482,5.445555556,1.006430137,0.743129044,5.4475,0.797955873,0.309970714,5.449444444,0.729290017,0.459296594,5.445555556,0.346056969,0.141250789
49,5.564166667,0.658096398,0.417232728,5.562222222,0.959677082,0.728803353,5.564166667,0.756572196,0.296088603,5.566111111,0.647913195,0.393743982,5.562222222,0.390782195,0.139116236
50,5.680833333,0.689744337,0.401343744,5.678888889,0.914187601,0.708835372,5.680833333,0.706482571,0.284231728,5.682777778,0.623435529,0.371960792,5.678888889,0.422667261,0.144390774
51,5.7975,0.757595935,0.417401019,5.795555556,0.878239686,0.690412185,5.7975,0.650301157,0.271580218,5.799444444,0.662766445,0.380610801,5.795555556,0.430318753,0.140748311
52,5.914166667,0.8233006,0.447096031,5.912222222,0.85100414,0.657904823,5.914166667,0.622292163,0.263706124,5.916111111,0.72555511,0.410483875,5.912222222,0.437316215,0.137485621
53,6.030833333,0.855456555,0.464071799,6.028888889,0.862208388,0.619931073,6.030833333,0.610493388,0.247579191,6.032777778,0.778049846,0.435001001,6.028888889,0.443005689,0.138445716
54,6.1475,0.838961823,0.453578736,6.145555556,0.923296563,0.607861053,6.1475,0.616595912,0.226154601,6.149444444,0.819982441,0.441606599,6.145555556,0.448846429,0.142169394
55,6.264166667,0.779179693,0.419506432,6.262222222,0.994019275,0.618149219,6.264166667,0.660630264,0.209867071,6.266111111,0.83617467,0.434709367,6.262222222,0.468416039,0.147485905
56,6.380833333,0.710239279,0.373638442,6.378888889,1.040385348,0.634650861,6.380833333,0.705465996,0.195622025,6.382777778,0.797991951,0.407110345,6.378888889,0.493189458,0.154969525
57,6.4975,0.651277263,0.322112569,6.495555556,1.041149659,0.649480197,6.4975,0.716357625,0.184574832,6.499444444,0.749993915,0.380428174,6.495555556,0.488163374,0.150399197
58,6.614166667,0.652308418,0.299953611,6.612222222,1.017612648,0.66084796,6.614166667,0.721389703,0.19238139,6.616111111,0.725047356,0.369845252,6.612222222,0.455555627,0.143175801
59,6.730833333,0.69060248,0.299350725,6.728888889,1.007347745,0.668615248,6.730833333,0.731363475,0.210750493,6.732777778,0.693827024,0.345523831,6.728888889,0.396467904,0.12503835
60,6.8475,0.733447883,0.300010284,6.845555556,0.990954464,0.660222239,6.8475,0.741589285,0.230531532,6.849444444,0.659820361,0.311955208,6.845555556,0.322170153,0.088231685
61,6.964166667,0.775145969,0.304534513,6.962222222,0.965875104,0.638676195,6.964166667,0.766123829,0.261750536,6.966111111,0.646262592,0.281983931,6.962222222,0.246135236,0.047931088
62,7.080833333,0.801521245,0.312853226,7.078888889,0.974880681,0.625892628,7.080833333,0.797343101,0.297986471,7.082777778,0.628850806,0.249929342,7.078888889,0.177837163,1.15E-02
63,7.1975,0.783087717,0.300326584,7.195555556,1.018797156,0.61927123,7.1975,0.827400708,0.321155565,7.199444444,0.590667136,0.224169363,7.195555556,0.153865501,-0.015324183
64,7.314166667,0.735710807,0.280360138,7.312222222,1.048904306,0.614472612,7.314166667,0.855188705,0.327944033,7.316111111,0.549030644,0.21189044,7.312222222,0.19139431,-0.026676001
65,7.430833333,0.693880324,0.261903707,7.428888889,1.088991895,0.625479931,7.430833333,0.892533015,0.337658684,7.432777778,0.523498476,0.216726984,7.428888889,0.255495551,-0.030493112
66,7.5475,0.679455557,0.234393616,7.545555556,1.13599996,0.655615006,7.5475,0.944805535,0.349256799,7.549444444,0.509412512,0.241713887,7.545555556,0.337337579,-0.024944591
67,7.664166667,0.692944578,0.197623927,7.662222222,1.15718437,0.688301431,7.664166667,1.011404055,0.359668937,7.666111111,0.503910114,0.264799603,7.662222222,0.421289631,-0.011429984
68,7.780833333,0.741236345,0.185023496,7.778888889,1.156505356,0.711252704,7.780833333,1.065326442,0.380730653,7.782777778,0.521373505,0.283378502,7.778888889,0.466801345,-0.001596106
69,7.8975,0.807560251,0.190813738,7.895555556,1.136786528,0.715208539,7.8975,1.093801398,0.405862186,7.899444444,0.54693522,0.309548794,7.895555556,0.460013279,0.003024892
70,8.014166667,0.840038626,0.199634826,8.012222222,1.095363992,0.703465935,8.014166667,1.083248341,0.412002624,8.016111111,0.54909829,0.317457376,8.012222222,0.421877385,0.009951785
71,8.130833333,0.825187849,0.213075418,8.128888889,1.08023885,0.682818939,8.130833333,1.054186217,0.412326426,8.132777778,0.531918377,0.297090685,8.128888889,0.375615735,0.019152255
72,8.2475,0.813687658,0.226911026,8.245555556,1.093641054,0.665223232,8.2475,1.036625925,0.425306557,8.249444444,0.518539156,0.268384233,8.245555556,0.349953536,0.033126225
73,8.364166667,0.82531893,0.2238648,8.362222222,1.081731995,0.652547106,8.364166667,1.039173539,0.434772191,8.366111111,0.521411297,0.237030822,8.362222222,0.340384754,0.044677663
74,8.480833333,0.840237066,0.217610582,8.478888889,1.046409015,0.641191032,8.480833333,1.039199758,0.440656748,8.482777778,0.527251181,0.191796737,8.478888889,0.348931634,0.054006247
75,8.5975,0.860582194,0.228527003,8.595555556,1.013942106,0.639860697,8.5975,1.046728173,0.454963709,8.599444444,0.535653453,0.154855803,8.595555556,0.372411135,0.060484631
76,8.714166667,0.864210214,0.241930407,8.712222222,0.983213495,0.638842242,8.714166667,1.074906614,0.477003452,8.716111111,0.552278058,0.135348841,8.712222222,0.38880296,0.063714331
77,8.830833333,0.828829062,0.244763472,8.828888889,0.95788657,0.632001863,8.830833333,1.089124705,0.496396967,8.832777778,0.559496634,0.113233819,8.828888889,0.410345342,0.065568624
