,time,rela,crel,time1,rela.1,crel.1,time2,rela.2,crel.2,time3,rela.3,crel.3,time4,rela.4,crel.4
31,3.450555556,1.048120578,0.274166348,3.456388889,1.088577012,0.529368065,3.448611111,0.929878468,0.387077161,3.456388889,0.718921185,0.257561292,3.456388889,0.717922489,0.27002749
32,3.567222222,1.090819485,0.317234452,3.573055556,1.131119063,0.521301031,3.565277778,0.940266318,0.396779067,3.573055556,0.702716496,0.262034523,3.573055556,0.70884775,0.245885395
33,3.683888889,1.138968281,0.359735636,3.689722222,1.196387556,0.533287214,3.681944444,0.962945251,0.404746041,3.689722222,0.674656463,0.262112278,3.689722222,0.703499926,0.237972711
34,3.800555556,1.178747773,0.379787628,3.806388889,1.224705441,0.552815057,3.798611111,0.992491611,0.422167185,3.806388889,0.660113351,0.26165334,3.806388889,0.713752692,0.235329973
35,3.917222222,1.211671588,0.396174649,3.923055556,1.188660091,0.569259221,3.915277778,1.053990062,0.453600482,3.923055556,0.642103079,0.252443449,3.923055556,0.741671847,0.2352779
36,4.033888889,1.213778153,0.399644239,4.039722222,1.095640793,0.561319661,4.031944444,1.129615249,0.497258706,4.039722222,0.608977013,0.226006452,4.039722222,0.756214597,0.239340531
37,4.150555556,1.168613472,0.375786329,4.156388889,0.963276981,0.527925706,4.148611111,1.172680733,0.544247134,4.156388889,0.594475802,0.195414234,4.156388889,0.785979666,0.25493418
38,4.267222222,1.115427799,0.349708237,4.273055556,0.851395738,0.490366961,4.265277778,1.179383704,0.585633418,4.273055556,0.60255312,0.175701994,4.273055556,0.835631398,0.280256678
39,4.383888889,1.083720424,0.341790239,4.389722222,0.794822254,0.461138978,4.381944444,1.1710036,0.613657267,4.389722222,0.617415654,0.171702908,4.389722222,0.900090298,0.31457783
40,4.500555556,1.056639238,0.340097145,4.506388889,0.76859831,0.442171999,4.498611111,1.11340575,0.624238866,4.506388889,0.627541327,0.175709604,4.506388889,0.964418314,0.348724629
41,4.617222222,1.059194581,0.35562482,4.623055556,0.750395842,0.429088796,4.615277778,0.998238558,0.59640314,4.623055556,0.62123107,0.180203911,4.623055556,1.0008451,0.378004153
42,4.733888889,1.095466603,0.386189887,4.739722222,0.745317259,0.4138187,4.731944444,0.876302254,0.544913526,4.739722222,0.595491474,0.180712664,4.739722222,0.994659735,0.393684214
43,4.850555556,1.132494271,0.406235818,4.856388889,0.730565321,0.38820813,4.848611111,0.767889375,0.490317324,4.856388889,0.545063167,0.163824488,4.856388889,0.973102478,0.397700429
44,4.967222222,1.162226212,0.415870629,4.973055556,0.727674193,0.358585993,4.965277778,0.683468444,0.436447094,4.973055556,0.496747398,0.130793986,4.973055556,0.952865856,0.399326671
45,5.083888889,1.183130646,0.420759942,5.089722222,0.756011138,0.337797094,5.081944444,0.669454643,0.39574523,5.089722222,0.494708852,0.100030888,5.089722222,0.931941235,0.406455951
46,5.200555556,1.186345446,0.414242785,5.206388889,0.781752976,0.322078125,5.198611111,0.721165695,0.389968059,5.206388889,0.537974151,0.086801483,5.206388889,0.92583159,0.410396634
47,5.317222222,1.173133333,0.407217067,5.323055556,0.821150586,0.312113654,5.315277778,0.776997659,0.405265743,5.323055556,0.590261885,0.082798586,5.323055556,0.951905729,0.413134131
48,5.433888889,1.140048716,0.40823167,5.439722222,0.914854071,0.317614435,5.431944444,0.839222199,0.429699686,5.439722222,0.629965063,0.092581395,5.439722222,0.983614687,0.423176962
49,5.550555556,1.093604911,0.407749864,5.556388889,0.98869834,0.337810789,5.548611111,0.899333199,0.463437385,5.556388889,0.621906485,0.114786859,5.556388889,1.007322037,0.440143892
50,5.667222222,1.05949295,0.398902818,5.673055556,1.043371372,0.370882088,5.665277778,0.927183894,0.496816321,5.673055556,0.578117188,0.131649876,5.673055556,1.02079572,0.452291186
51,5.783888889,1.037085947,0.388792473,5.789722222,1.099859494,0.426378315,5.781944444,0.941917622,0.510037578,5.789722222,0.540833208,0.132077986,5.789722222,1.014398683,0.457062145
52,5.900555556,1.039406378,0.371184338,5.906388889,1.107929651,0.486643206,5.898611111,0.951719712,0.508264664,5.906388889,0.533730483,0.134456846,5.906388889,0.977709667,0.445412813
