,time,rela,crel,time.1,rela.1,crel.1,time.2,rela.2,crel.2,time.3,rela.3,crel.3,time.4,rela.4,crel.4
32,3.626666667,0.474917901,0.293269153,3.628333333,0.587760193,0.352504745,3.63,0.820122247,0.893209038,3.631666667,0.709365836,0.691676283,3.631666667,0.773696069,0.475514363
33,3.743333333,0.472006705,0.320676302,3.745,0.587862272,0.354574731,3.746666667,0.834543338,0.886704233,3.748333333,0.72122837,0.700715092,3.748333333,0.783437513,0.479892031
34,3.86,0.459924814,0.339420699,3.861666667,0.586707263,0.346936786,3.863333333,0.846693655,0.890862517,3.865,0.706646604,0.692667624,3.865,0.777048492,0.483229767
35,3.976666667,0.460822061,0.365458434,3.978333333,0.572138692,0.330441021,3.98,0.837125253,0.887961677,3.981666667,0.699219759,0.685856858,3.981666667,0.777864921,0.486148786
36,4.093333333,0.456725208,0.363576862,4.095,0.552754845,0.319213443,4.096666667,0.808045438,0.878038068,4.098333333,0.685139452,0.673008443,4.098333333,0.783950945,0.480670478
37,4.21,0.457402047,0.342901047,4.211666667,0.523400817,0.32221957,4.213333333,0.774160886,0.861196175,4.215,0.662955595,0.654498761,4.215,0.79884061,0.474787571
38,4.326666667,0.455256311,0.314319973,4.328333333,0.497582532,0.327959663,4.33,0.74637528,0.843956004,4.331666667,0.650682503,0.647105466,4.331666667,0.813644201,0.484828024
39,4.443333333,0.447842917,0.278181597,4.445,0.479223426,0.331704498,4.446666667,0.737540886,0.84708891,4.448333333,0.621828931,0.623485776,4.448333333,0.806598117,0.497319847
40,4.56,0.454955642,0.276761274,4.561666667,0.489811935,0.349837334,4.563333333,0.74757147,0.858235281,4.565,0.604439467,0.606005968,4.565,0.801481277,0.508738661
41,4.676666667,0.455104592,0.290911215,4.678333333,0.522408237,0.375447305,4.68,0.766934176,0.867544559,4.681666667,0.602093227,0.59832899,4.681666667,0.801092241,0.518700036
42,4.793333333,0.43642055,0.294635827,4.795,0.553667354,0.395136762,4.796666667,0.786309153,0.868812757,4.798333333,0.606123001,0.577699034,4.798333333,0.797388246,0.526835037
43,4.91,0.407262713,0.279197315,4.911666667,0.576217281,0.401326267,4.913333333,0.803757117,0.873647088,4.915,0.615764071,0.568013799,4.915,0.778872781,0.527827942
44,5.026666667,0.388434797,0.269796454,5.028333333,0.57215078,0.384914231,5.03,0.812683667,0.883938682,5.031666667,0.610267889,0.555222965,5.031666667,0.770956317,0.534812249
45,5.143333333,0.395907105,0.284792306,5.145,0.561665814,0.37121887,5.146666667,0.807870021,0.88264461,5.148333333,0.603415804,0.556180181,5.148333333,0.774787236,0.543096962
46,5.26,0.413201284,0.305610082,5.261666667,0.541303994,0.360171598,5.263333333,0.811573833,0.887217898,5.265,0.589753156,0.558826777,5.265,0.776759856,0.541774668
47,5.376666667,0.426525259,0.316126758,5.378333333,0.533763283,0.36761291,5.38,0.807276944,0.883901339,5.381666667,0.576078121,0.554177471,5.381666667,0.791943214,0.542226423
48,5.493333333,0.420374741,0.302493125,5.495,0.542414411,0.379466193,5.496666667,0.802416311,0.89021821,5.498333333,0.575441497,0.551974996,5.498333333,0.785574587,0.534735978
49,5.61,0.401627797,0.292608728,5.611666667,0.544488916,0.379184944,5.613333333,0.798329148,0.882719564,5.615,0.579959305,0.557826505,5.615,0.775175932,0.525386089
50,5.726666667,0.397308267,0.297709784,5.728333333,0.547466836,0.370343373,5.73,0.790040445,0.858191618,5.731666667,0.588251956,0.561482088,5.731666667,0.780577354,0.529943495
51,5.843333333,0.408904743,0.31114429,5.845,0.533788335,0.349749218,5.846666667,0.793380158,0.832146753,5.848333333,0.590239761,0.570586208,5.848333333,0.786890702,0.533307945
52,5.96,0.429411925,0.328705356,5.961666667,0.520731608,0.345035532,5.963333333,0.797281057,0.808431977,5.965,0.589056255,0.575611308,5.965,0.796010222,0.534202486
53,6.076666667,0.435305484,0.344138485,6.078333333,0.511402166,0.350250549,6.08,0.795153854,0.811772829,6.081666667,0.595244495,0.587468145,6.081666667,0.795247232,0.533349834
54,6.193333333,0.407120358,0.347648757,6.195,0.506053828,0.364307281,6.196666667,0.779844657,0.821223351,6.198333333,0.603860747,0.60670306,6.198333333,0.773388292,0.51835963
55,6.31,0.356759645,0.326063382,6.311666667,0.494069595,0.371513255,6.313333333,0.740196125,0.817905094,6.315,0.614733184,0.610294512,6.315,0.750119334,0.516483814
56,6.426666667,0.314307831,0.292630685,6.428333333,0.467726072,0.359340768,6.43,0.699360186,0.804587603,6.431666667,0.631975859,0.616083361,6.431666667,0.737700817,0.514061131
57,6.543333333,0.295745854,0.260913733,6.545,0.440404865,0.343948516,6.546666667,0.688370509,0.791494999,6.548333333,0.644630979,0.628010015,6.548333333,0.739793131,0.524391541
58,6.66,0.297857289,0.256481102,6.661666667,0.418178982,0.339223655,6.663333333,0.699421838,0.794640994,6.665,0.64965618,0.633059927,6.665,0.749283688,0.546954412
59,6.776666667,0.308171308,0.263620995,6.778333333,0.425331445,0.350431595,6.78,0.718033209,0.802771683,6.781666667,0.637688008,0.637737901,6.781666667,0.740876818,0.542705483
60,6.893333333,0.311694897,0.247039757,6.895,0.474086599,0.388986768,6.896666667,0.730244604,0.814842009,6.898333333,0.619999247,0.631915019,6.898333333,0.727343444,0.526714157
61,7.01,0.306819027,0.219690607,7.011666667,0.532958465,0.425732976,7.013333333,0.740045889,0.82028284,7.015,0.606876589,0.614448408,7.015,0.708799337,0.492112465
62,7.126666667,0.298125856,0.192330636,7.128333333,0.586325197,0.456662152,7.13,0.741698578,0.815491918,7.131666667,0.605631035,0.604821691,7.131666667,0.704371256,0.466606612
63,7.243333333,0.282771953,0.185983482,7.245,0.62352936,0.482838178,7.246666667,0.743507276,0.804027172,7.248333333,0.600847576,0.593062496,7.248333333,0.697338093,0.45897554
